GAME_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RESP_PIT_ID,RESP_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_FL,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID
ANA202007280,SEA,1,0,0,1,2,0,0,0,longs001,L,longs001,L,sandp002,L,sandp002,L,stasm001,pujoa001,lastt001,renda001,fletd002,uptoj001,troum001,wardt002,NULL,NULL,NULL,K,0,0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,0,0,0,0,2,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,2,0,0,0,0,0,0,0,1
ANA202007280,SEA,1,1,0,3,1,0,0,0,fletd002,R,fletd002,R,shefj001,L,shefj001,L,odomj001,white005,longs001,seagk001,crawj002,moord002,lewik001,smitm007,NULL,NULL,NULL,W,0,0,6,1,14,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,0,0,N,0,N,0,N,1,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,5
ANA202007280,SEA,1,0,1,1,0,0,0,0,white005,R,white005,R,sandp002,L,sandp002,L,stasm001,pujoa001,lastt001,renda001,fletd002,uptoj001,troum001,wardt002,NULL,NULL,NULL,53/G56,0,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,5,G,0,0,56,0,0,N,0,N,0,N,0,0,0,0,53,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,5,0,0,0,0,2
ANA202007280,SEA,1,1,0,0,1,0,0,0,troum001,R,troum001,R,shefj001,L,shefj001,L,odomj001,white005,longs001,seagk001,crawj002,moord002,lewik001,smitm007,fletd002,NULL,NULL,3/L34+/DP.1X1(3),0,0,8,2,2,0,0,0,0,0,2,0,0,0,0,0,3,L,0,0,34,0,0,N,0,N,0,N,0,0,0,0,3,3,NULL,NULL,0,0,0,0,0,0,0,0,0,shefj001,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,3,0,0,0,0,0,0,6
ANA202007280,SEA,1,0,2,3,1,0,0,0,lewik001,R,lewik001,R,sandp002,L,sandp002,L,stasm001,pujoa001,lastt001,renda001,fletd002,uptoj001,troum001,wardt002,NULL,NULL,NULL,S8/G4M,0,0,8,3,20,0,0,1,0,0,0,0,0,0,0,0,8,G,0,0,4M,0,0,N,0,N,0,N,1,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,3
ANA202007280,SEA,1,1,2,1,2,0,0,0,renda001,R,renda001,R,shefj001,L,shefj001,L,odomj001,white005,longs001,seagk001,crawj002,moord002,lewik001,smitm007,NULL,NULL,NULL,63/G56,0,0,5,3,2,0,0,0,0,0,1,0,0,0,0,0,6,G,0,0,56,0,0,N,0,N,0,N,0,0,0,0,63,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,6,0,0,0,0,7
ANA202007280,SEA,1,0,2,0,1,1,0,0,seagk001,L,seagk001,L,sandp002,L,sandp002,L,stasm001,pujoa001,lastt001,renda001,fletd002,uptoj001,troum001,wardt002,lewik001,NULL,NULL,8/F8XD,0,0,5,4,2,0,0,0,0,0,1,0,0,0,0,0,8,F,0,0,8XD,0,0,N,0,N,0,N,0,1,0,0,8,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,sandp002,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,8,0,0,0,0,0,0,0,4
ANA202007280,SEA,2,1,0,0,1,0,0,0,uptoj001,R,uptoj001,R,shefj001,L,shefj001,L,odomj001,white005,longs001,seagk001,crawj002,moord002,lewik001,smitm007,NULL,NULL,NULL,63/G56,0,0,7,4,2,0,0,0,0,0,1,0,0,0,0,0,6,G,0,0,56,0,0,N,0,N,0,N,0,0,0,0,63,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,6,0,0,0,0,11
ANA202007280,SEA,2,0,0,2,1,0,0,0,lopet001,R,lopet001,R,sandp002,L,sandp002,L,stasm001,pujoa001,lastt001,renda001,fletd002,uptoj001,troum001,wardt002,NULL,NULL,NULL,S8/L8+,0,0,10,5,20,0,0,1,0,0,0,0,0,0,0,0,8,L,0,0,8,0,0,N,0,N,0,N,1,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,8
ANA202007280,SEA,2,1,1,1,1,0,0,0,ohtas001,L,ohtas001,L,shefj001,L,shefj001,L,odomj001,white005,longs001,seagk001,crawj002,moord002,lewik001,smitm007,NULL,NULL,NULL,63/G4D,0,0,10,5,2,0,0,0,0,0,1,0,0,0,0,0,6,G,0,0,4D,0,0,N,0,N,0,N,0,0,0,0,63,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,NULL,NULL,NULL,NULL,0,3,0,0,6,0,0,0,0,12
