PlayerID,LastName,FirstName,Bats,Pitches,Team
pujoa001,Pujols,Albert,R,R,SLN
pereo002,Perez,Oliver,L,L,SDN
pujoa001,Pujols,Albert,R,R,SLN
cabrm001,Cabrera,Miguel,R,R,FLO
pereo002,Perez,Oliver,L,L,PIT
pereo002,Perez,Oliver,L,L,SDN
pujoa001,Pujols,Albert,R,R,SLN
cabrm001,Cabrera,Miguel,R,R,FLO
greiz001,Greinke,Zack,R,R,KCA
pereo002,Perez,Oliver,L,L,PIT
river003,Rivera,Rene,R,R,SEA
moliy001,Molina,Yadier,R,R,SLN
pujoa001,Pujols,Albert,R,R,SLN
mathj001,Mathis,Jeff,R,R,ANA
hillr001,Hill,Rich,L,L,CHN
encae001,Encarnacion,Edwin,R,R,CIN
verlj001,Verlander,Justin,R,R,DET
cabrm001,Cabrera,Miguel,R,R,FLO
greiz001,Greinke,Zack,R,R,KCA
cruzn002,Cruz,Nelson,R,R,MIL
canor001,Cano,Robinson,L,R,NYA
pereo002,Perez,Oliver,L,L,PIT
choos001,Choo,Shin-Soo,L,L,SEA
river003,Rivera,Rene,R,R,SEA
moliy001,Molina,Yadier,R,R,SLN
pujoa001,Pujols,Albert,R,R,SLN
waina001,Wainwright,Adam,R,R,SLN
volqe001,Volquez,Edinson,R,R,TEX
kendh001,Kendrick,Howie,R,R,ANA
mathj001,Mathis,Jeff,R,R,ANA
markn001,Markakis,Nick,L,L,BAL
lestj001,Lester,Jon,L,L,BOS
hillr001,Hill,Rich,L,L,CHN
encae001,Encarnacion,Edwin,R,R,CIN
choos001,Choo,Shin-Soo,L,L,CLE
milla002,Miller,Andrew,L,L,DET
verlj001,Verlander,Justin,R,R,DET
cabrm001,Cabrera,Miguel,R,R,FLO
petiy001,Petit,Yusmeiro,R,R,FLO
sanca004,Sanchez,Anibal,R,R,FLO
greiz001,Greinke,Zack,R,R,KCA
kempm001,Kemp,Matt,R,R,LAN
canor001,Cano,Robinson,L,R,NYA
pereo002,Perez,Oliver,L,L,NYN
hamec001,Hamels,Cole,L,L,PHI
pereo002,Perez,Oliver,L,L,PIT
choos001,Choo,Shin-Soo,L,L,SEA
river003,Rivera,Rene,R,R,SEA
moliy001,Molina,Yadier,R,R,SLN
pujoa001,Pujols,Albert,R,R,SLN
waina001,Wainwright,Adam,R,R,SLN
cruzn002,Cruz,Nelson,R,R,TEX
volqe001,Volquez,Edinson,R,R,TEX
kendh001,Kendrick,Howie,R,R,ANA
mathj001,Mathis,Jeff,R,R,ANA
bonie001,Bonifacio,Emilio,B,R,ARI
petiy001,Petit,Yusmeiro,R,R,ARI
uptoj001,Upton,Justin,R,R,ARI
markn001,Markakis,Nick,L,L,BAL
lestj001,Lester,Jon,L,L,BOS
hillr001,Hill,Rich,L,L,CHN
bailh001,Bailey,Homer,R,R,CIN
encae001,Encarnacion,Edwin,R,R,CIN
vottj001,Votto,Joey,L,R,CIN
cabra002,Cabrera,Asdrubal,B,R,CLE
choos001,Choo,Shin-Soo,L,L,CLE
maybc001,Maybin,Cameron,R,R,DET
milla002,Miller,Andrew,L,L,DET
verlj001,Verlander,Justin,R,R,DET
cabrm001,Cabrera,Miguel,R,R,FLO
sanca004,Sanchez,Anibal,R,R,FLO
pench001,Pence,Hunter,R,R,HOU
gorda001,Gordon,Alex,L,R,KCA
greiz001,Greinke,Zack,R,R,KCA
sorij001,Soria,Joakim,R,R,KCA
kempm001,Kemp,Matt,R,R,LAN
braur002,Braun,Ryan,R,R,MIL
canor001,Cano,Robinson,L,R,NYA
clipt001,Clippard,Tyler,R,R,NYA
kenni001,Kennedy,Ian,R,R,NYA
pereo002,Perez,Oliver,L,L,NYN
suzuk001,Suzuki,Kurt,R,R,OAK
hamec001,Hamels,Cole,L,L,PHI
happj001,Happ,J.A.,L,L,PHI
moliy001,Molina,Yadier,R,R,SLN
pujoa001,Pujols,Albert,R,R,SLN
waina001,Wainwright,Adam,R,R,SLN
cruzn002,Cruz,Nelson,R,R,TEX
volqe001,Volquez,Edinson,R,R,TEX
detwr001,Detwiler,Ross,R,L,WAS
kendh001,Kendrick,Howie,R,R,ANA
mathj001,Mathis,Jeff,R,R,ANA
odayd001,O'Day,Darren,R,R,ANA
rodrs002,Rodriguez,Sean,R,R,ANA
bonie001,Bonifacio,Emilio,B,R,ARI
petiy001,Petit,Yusmeiro,R,R,ARI
schem001,Scherzer,Max,R,R,ARI
uptoj001,Upton,Justin,R,R,ARI
mortc002,Morton,Charlie,R,R,ATL
markn001,Markakis,Nick,L,L,BAL
lestj001,Lester,Jon,L,L,BOS
hillr001,Hill,Rich,L,L,CHN
samaj001,Samardzija,Jeff,R,R,CHN
bailh001,Bailey,Homer,R,R,CIN
brucj001,Bruce,Jay,L,L,CIN
cuetj001,Cueto,Johnny,R,R,CIN
encae001,Encarnacion,Edwin,R,R,CIN
volqe001,Volquez,Edinson,R,R,CIN
vottj001,Votto,Joey,L,R,CIN
cabra002,Cabrera,Asdrubal,B,R,CLE
choos001,Choo,Shin-Soo,L,L,CLE
fowld001,Fowler,Dexter,B,R,COL
cabrm001,Cabrera,Miguel,R,R,DET
joycm001,Joyce,Matthew,L,R,DET
verlj001,Verlander,Justin,R,R,DET
maybc001,Maybin,Cameron,R,R,FLO
milla002,Miller,Andrew,L,L,FLO
sanca004,Sanchez,Anibal,R,R,FLO
pench001,Pence,Hunter,R,R,HOU
gorda001,Gordon,Alex,L,R,KCA
greiz001,Greinke,Zack,R,R,KCA
sorij001,Soria,Joakim,R,R,KCA
kempm001,Kemp,Matt,R,R,LAN
kersc001,Kershaw,Clayton,L,L,LAN
braur002,Braun,Ryan,R,R,MIL
canor001,Cano,Robinson,L,R,NYA
cervf001,Cervelli,Francisco,R,R,NYA
gardb001,Gardner,Brett,L,L,NYA
kenni001,Kennedy,Ian,R,R,NYA
murpd006,Murphy,Daniel,L,R,NYN
pereo002,Perez,Oliver,L,L,NYN
gonzg003,Gonzalez,Gio,R,L,OAK
suzuk001,Suzuki,Kurt,R,R,OAK
hamec001,Hamels,Cole,L,L,PHI
happj001,Happ,J.A.,L,L,PHI
chavj001,Chavez,Jesse,R,R,PIT
leblw001,LeBlanc,Wade,L,L,SDN
romos001,Romo,Sergio,R,R,SFN
sandp001,Sandoval,Pablo,B,R,SFN
moliy001,Molina,Yadier,R,R,SLN
pujoa001,Pujols,Albert,R,R,SLN
waina001,Wainwright,Adam,R,R,SLN
longe001,Longoria,Evan,R,R,TBA
cruzn002,Cruz,Nelson,R,R,TEX
davic003,Davis,Chris,L,R,TEX
huntt002,Hunter,Tommy,R,R,TEX
bonie001,Bonifacio,Emilio,B,R,WAS
clipt001,Clippard,Tyler,R,R,WAS
kendh001,Kendrick,Howie,R,R,ANA
mathj001,Mathis,Jeff,R,R,ANA
rodrs002,Rodriguez,Sean,R,R,ANA
petiy001,Petit,Yusmeiro,R,R,ARI
schem001,Scherzer,Max,R,R,ARI
uptoj001,Upton,Justin,R,R,ARI
hillr001,Hill,Rich,L,L,BAL
markn001,Markakis,Nick,L,L,BAL
turnj001,Turner,Justin,R,R,BAL
wietm001,Wieters,Matt,B,R,BAL
bardd001,Bard,Daniel,R,R,BOS
lestj001,Lester,Jon,L,L,BOS
reddj001,Reddick,Josh,L,R,BOS
flowt001,Flowers,Tyler,R,R,CHA
hudsd001,Hudson,Daniel,R,R,CHA
samaj001,Samardzija,Jeff,R,R,CHN
bailh001,Bailey,Homer,R,R,CIN
brucj001,Bruce,Jay,L,L,CIN
cuetj001,Cueto,Johnny,R,R,CIN
encae001,Encarnacion,Edwin,R,R,CIN
volqe001,Volquez,Edinson,R,R,CIN
vottj001,Votto,Joey,L,R,CIN
branm003,Brantley,Michael,L,L,CLE
cabra002,Cabrera,Asdrubal,B,R,CLE
carrc003,Carrasco,Carlos,R,R,CLE
choos001,Choo,Shin-Soo,L,L,CLE
chacj001,Chacin,Jhoulys,R,R,COL
fowld001,Fowler,Dexter,B,R,COL
avila001,Avila,Alex,L,R,DET
cabrm001,Cabrera,Miguel,R,R,DET
porcr001,Porcello,Rick,R,R,DET
verlj001,Verlander,Justin,R,R,DET
bonie001,Bonifacio,Emilio,B,R,FLO
